fake_artist_id	artist_name	artist_uri	fake_track_id	track_title	track_uri	elapsed_seconds	play_source	fake_listener_id
294415	Major Lazer	2087	283761	Roll the Bass	roll-bass	299	Thumed Up Track	64
382306	Machel Montano	6480	451335	Junction	junction	290	Playlist	14
108835	Slow Runner	4903	495904	Happy Ending	happy-ending	111	Thumbed Down Track	20
892574	Stone Mecca	1802	44132	Dream Maker	dream-maker	21	Autoplay	71
892574	Stone Mecca	7409	873191	Slave	slave	5	Album	16
952543	Blackmill	2931	43331	As Time Goes By	as-time-goes-by	290	Station	54
300036	Brooklyn Duo	3562	355499	Hark! the Herald Angels Sing	hark-herald	212	Station	65
580456	Ron Pope	5605	137697	Perfect for Me	perfect-for-me	266	Collections	57
580456	Ron Pope	4575	281475	Blood from a Stone	blood-from-stone	251	All Artist Tracks	19
580456	Ron Pope	8945	706722	Reason to Hope	reason-to-hope	283	Thumbed Down Track	80
580456	Ron Pope	8861	138164	Stranded in Los Angeles	stranded-in-los-angeles	200	Station	64
238700	Michael Silverman	3774	205939	Beethoven's Dream	beethovens-dream	186	Autoplay	19
238700	Michael Silverman	2741	346621	The Cliffhouse	cliffhouse	31	Thumbed Down Track	46
238700	Michael Silverman	3316	42814	Pavane	pavane	173	Autoplay	100
238700	Michael Silverman	2702	900268	As Long as I've Known You	as-long-as-ive-known-you	230	Album	56
238700	Michael Silverman	94	479134	Noble Pines	noble-pines	205	Album	100
821048	Beethoven Consort	7027	941787	Sonata Pathetique	sonata-pathetique	56	Collections	100
807668	Still Corners	8730	150248	Hearts of Fools	hearts-of-fools	88	Thumbed Down Track	79
651507	Parachute Band	5736	818167	For The Honour	for-honour	152	All Artist Tracks	100
651507	Parachute Band	3378	696281	Hold Me Near	hold-me-near	75	Thumed Up Track	89
651507	Parachute Band	4721	5578	I Stand In Awe	i-stand-in-awe	18	Thumed Up Track	5
113523	Nomadic Sun	4467	110937	2AM NYC (Through All the Doubts)	2am-nyc-through-all-doubts	282	Playlist	16
835994	The Clarks	5506	895154	Out Of Sight, Out Of Mind	out-of-sight-out-of-mind	200	Thumbed Down Track	13
835994	The Clarks	5675	684163	True Believer	true-believer	225	Playlist	77
835994	The Clarks	4166	592321	Penny on the Floor	penny-on-floor	21	All Artist Tracks	18
835994	The Clarks	161	837443	Help Me Out	help-me-out	240	Playlist	81
603484	Bryon Friedman	1381	956023	The Guessers	guessers	179	Autoplay	80
183518	Phillip Roebuck	12	335936	Somebody Take Me Home	somebody-take-me-home	214	Album	33
240812	Alberto Cortez	3612	413699	Cuándo Un Amigo Se Va (Alberto Cortez Y Susana Rinaldi)	cundo-un-amigo-se-va-alberto-cortez-y-susana-rinaldi	15	Thumed Up Track	31
305839	Alicia Witt	128	573756	Santa Baby	santa-baby	48	Playlist	27
305839	Alicia Witt	5510	264573	Already Gone	already-gone	70	Autoplay	11
443496	David Baron	4709	783942	Nothing To Fear	nothing-to-fear	135	Thumed Up Track	28
192436	Anesthesia	3701	183934	Time	time	268	Station	48
502587	Nine Inch Nails	1311	546924	36 Ghosts IV	36-ghosts-4	59	Thumbed Down Track	6
719788	Redd Volkaert	7922	377334	Only Daddy That'll Walk The Line	only-daddy-thatll-walk-line	13	Thumed Up Track	80
719788	Redd Volkaert	145	61366	I'll Break Out Again Tonight	break-out-again	184	All Artist Tracks	52
816073	Bif Naked	8705	921499	Lucky	lucky-video-edit	119	Album	89
816073	Bif Naked	9130	901851	Honeybee	honeybee	94	Autoplay	68
467312	Maduro	9827	779835	Dark Stars	dark-stars	293	All Artist Tracks	99
623187	Moving Mountains	7380	709173	Lights & Shapes	lights-shapes	129	Thumed Up Track	67
623187	Moving Mountains	764	903944	Cover The Roots / Lower The Stems	cover-roots-lower-stems	261	Playlist	36
88295	Sworn	2235	234941	Electro Rock	electro-rock	96	Autoplay	24
45516	Rubblebucket	2298	790268	Triangular Daisies	triangular-daisies	296	Thumbed Down Track	4
965506	Manafest	5637	371494	Everytime You Run	everytime-you-run	22	Station	23
965506	Manafest	6087	103594	Throw It Away Instrumental	throw-it-away-instrumental	8	Thumbed Down Track	92
965506	Manafest	913	315048	The Chase Instrumental	chase-instrumental	30	Playlist	16
965506	Manafest	9508	802832	Stressed Out	stressed-out	167	Thumbed Down Track	87
965506	Manafest	2034	284884	Diamonds (feat. Trevor MC Nevan)	diamonds-feat-trevor-mcnevan	57	Station	6
965506	Manafest	3840	359538	House of Cards	house-of-cards	22	Station	62
965506	Manafest	810	611065	Pray	pray	51	Thumbed Down Track	87
965506	Manafest	337	881859	Find a Way to Fight (Doug Weier Remix)	find-way-to-fight-doug-weier-remix	239	Thumed Up Track	96
965506	Manafest	783	845943	Coming Back (Doug Weier Remix)	coming-back-doug-weier-remix	227	Album	20
741979	Tum Tum	8834	669809	Swang Wide	swang-wide	198	Collections	8
